Comment,Sentiment,Cleaned_Comment,Predicted
i started using mud for sugar cane purely for aesthetics didnt realize it had other uses for sugar cane farms,positive,i started using mud for sugar cane purely for aesthetics didnt realize it had other uses for sugar cane farms,neutral
i love your channel the technical details are perfect i’m an engineer and i work with batteries as a hobby there are two kinds of batteries that are lion one is “protected” and the other is “unprotected” the protected ones prevent overcharging and overdischarging as well as over current the unprotected ones do not and rely on external protection guess which people choose for their vaping lithium ion batteries have a huge energy density they are damaged by over charging and over discharging cheap chargers don’t behave and will over charge few if any vaping tools have protection for over discharge so why don’t people use protected cells generally those have too low current to make vaping possible the current draw to instantly heat to 200c is a lot of current and generally the protection on the cell would kick in causing things to not work or work much more slowly,positive,i love your channel the technical details are perfect im an engineer and i work with batteries as a hobby there are two kinds of batteries that are lion one is protected and the other is unprotected the protected ones prevent overcharging and overdischarging as well as over current the unprotected ones do not and rely on external protection guess which people choose for their vaping lithium ion batteries have a huge energy density they are damaged by over charging and over discharging cheap chargers dont behave and will over charge few if any vaping tools have protection for over discharge so why dont people use protected cells generally those have too low current to make vaping possible the current draw to instantly heat to c is a lot of current and generally the protection on the cell would kick in causing things to not work or work much more slowly,negative
i already know this is going to be hilarious ,positive,i already know this is going to be hilarious ,positive
bihar me ba,neutral,bihar me ba,positive
great content as usual i dont know whether you already did a video about it but do you think that data analysis is going to be saturated in the next years with all these hype about data i was wondering if the offer of data analysis is going to be higher than the demand for these jobs thank you for spreading the knowledge about data,positive,great content as usual i dont know whether you already did a video about it but do you think that data analysis is going to be saturated in the next years with all these hype about data i was wondering if the offer of data analysis is going to be higher than the demand for these jobs thank you for spreading the knowledge about data,positive
gênio gênio gênio gênio você é um homem ou um rato hahaha gosto do seu humor rafa melhor canal de xadrez ,positive,gnio gnio gnio gnio voc  um homem ou um rato hahaha gosto do seu humor rafa melhor canal de xadrez ,neutral
good to see aa and aaa games coming day one to gamepass thats what real gamers want to see not these pissy little indie garbage like cooking simulator microsoft gamepass was firing on all cylinders in 2021 they need to bring that energy back because 2022 has been a very weak year for xbo but atleast they got us looking forward to 2023 ps high on life was delayed its not 2022 anymore i believe,positive,good to see aa and aaa games coming day one to gamepass thats what real gamers want to see not these pissy little indie garbage like cooking simulator microsoft gamepass was firing on all cylinders in  they need to bring that energy back because  has been a very weak year for xbo but atleast they got us looking forward to  ps high on life was delayed its not  anymore i believe,positive
i love this guys videos and have been watching since 2018 but its unfortunate how they focused on iphones strong points and left out some of androids strong points as well its also extremely unfair to make this video android vs ios because ios is just on iphones while android is on several phones some astonishing some horrible they shouldve picked a battle like samsung android vs apple ios it should of been a fair fight but it sadly wasnt i also dont like how they left out a lot of androids features like usbc newer technology and tricks and features like quad hd displays that perform amazing very unfortunate and disappointing to see mrwhosetheboos and marques do it like this felt very bias and unfair to keep going further arun seemed to stretch his thoughts and opinions a lot while marques was on here he was more accepting and less opposing to him showing bias as he is a fan of mkbhd to keep going even further they also stretched out points in favour for apple by a lot like the software support which yes apple has facetime imessage and more samsung and android are greatly improving their technology and google message is to apples level too i feel like this video shouldve had an as wide focus on androids features then it did with iphone features great videos but im very disappointed unfortunately and this comes from someone who used iphone and android for years final thoughts this was very bias towards apple this video shouldve not had bias and personal opinions embedded into it this video was a comparison on sole facts so dont stretch them to lean in favour one of or the other this was expected with marques unfortunately because he has very strong ties with apple which grows his bias towards them immensely and that is undeniable fact,negative,i love this guys videos and have been watching since  but its unfortunate how they focused on iphones strong points and left out some of androids strong points as well its also extremely unfair to make this video android vs ios because ios is just on iphones while android is on several phones some astonishing some horrible they shouldve picked a battle like samsung android vs apple ios it should of been a fair fight but it sadly wasnt i also dont like how they left out a lot of androids features like usbc newer technology and tricks and features like quad hd displays that perform amazing very unfortunate and disappointing to see mrwhosetheboos and marques do it like this felt very bias and unfair to keep going further arun seemed to stretch his thoughts and opinions a lot while marques was on here he was more accepting and less opposing to him showing bias as he is a fan of mkbhd to keep going even further they also stretched out points in favour for apple by a lot like the software support which yes apple has facetime imessage and more samsung and android are greatly improving their technology and google message is to apples level too i feel like this video shouldve had an as wide focus on androids features then it did with iphone features great videos but im very disappointed unfortunately and this comes from someone who used iphone and android for years final thoughts this was very bias towards apple this video shouldve not had bias and personal opinions embedded into it this video was a comparison on sole facts so dont stretch them to lean in favour one of or the other this was expected with marques unfortunately because he has very strong ties with apple which grows his bias towards them immensely and that is undeniable fact,positive
mamas got chickens and guineas weed eggs for free not free because you got a buy the feed sometimes if we can keep the weasels out of the coop i reckon,neutral,mamas got chickens and guineas weed eggs for free not free because you got a buy the feed sometimes if we can keep the weasels out of the coop i reckon,neutral
this is so informative ive been a little on the fence about getting into cs but i love how challenging it is this video really helped answer alot of question i had i cannot thank you enough,positive,this is so informative ive been a little on the fence about getting into cs but i love how challenging it is this video really helped answer alot of question i had i cannot thank you enough,positive
apple tv dijo este año voy con todo en lo personal desde the afterparty ha lanzando excelentes series en diferentes géneros y siempre con calidad para mi es la plataforma que ha tenido mayores sorpresas en el 2022 the afterparty shining girls the essex serpent black bird pachinko severance… y recientemente estoy viendo five days at memorial bastante interesante agregaría también que slow horses ya tiene grabada su segunda temporada y que están confirmadas 4 que conforman los libros en los que está basada la serie ¡saludos líder,neutral,apple tv dijo este ao voy con todo en lo personal desde the afterparty ha lanzando excelentes series en diferentes gneros y siempre con calidad para mi es la plataforma que ha tenido mayores sorpresas en el  the afterparty shining girls the essex serpent black bird pachinko severance y recientemente estoy viendo five days at memorial bastante interesante agregara tambin que slow horses ya tiene grabada su segunda temporada y que estn confirmadas  que conforman los libros en los que est basada la serie saludos lder,neutral
ptrs command over english language arraying facts and figures and marshalling of points in absolutely unassailable fashion are absolutely amazing he is one in million knowledgeable minister we are proud to have i totally agree with him that freebie or no freebies is a policy decision in realms of legislators hats off to you ptr you will go places,positive,ptrs command over english language arraying facts and figures and marshalling of points in absolutely unassailable fashion are absolutely amazing he is one in million knowledgeable minister we are proud to have i totally agree with him that freebie or no freebies is a policy decision in realms of legislators hats off to you ptr you will go places,positive
you know the main character is smart when there arent that many comments on what he couldve done differently for each challenge after the first one the concept of this series seems interesting i hope theres more someone give this boyfriend an award for loyalty anyone who is willing to play a multidimensional physicsbreaking deadly game for their partner is beyond marriage material,positive,you know the main character is smart when there arent that many comments on what he couldve done differently for each challenge after the first one the concept of this series seems interesting i hope theres more someone give this boyfriend an award for loyalty anyone who is willing to play a multidimensional physicsbreaking deadly game for their partner is beyond marriage material,positive
“there’s no way to enter a serial number and search for the owner” how are we ever supposed to stop gun violence with a stupid law like that,negative,theres no way to enter a serial number and search for the owner how are we ever supposed to stop gun violence with a stupid law like that,negative
fort ,positive,fort ,neutral
thankyou guys,positive,thankyou guys,positive
dani is literally the reason ive started game dev he might not realize this but hes inspired alot of people including me and karlson is literally my dream gamemainly because i grew up playing mirrors edge and other parkour games,positive,dani is literally the reason ive started game dev he might not realize this but hes inspired alot of people including me and karlson is literally my dream gamemainly because i grew up playing mirrors edge and other parkour games,positive
i gotta say i absolutely love watching every single one of these and i hope it never stops,positive,i gotta say i absolutely love watching every single one of these and i hope it never stops,positive
gura unleashed her gag inducing knowledge kronii bae and chat jeesus gura mumei ill google it just hearing it is already too much but searching for it and sharing it this two is really built different,negative,gura unleashed her gag inducing knowledge kronii bae and chat jeesus gura mumei ill google it just hearing it is already too much but searching for it and sharing it this two is really built different,positive
i have a question regarding price drops the video mentions the iphone 12 and 13 does the price drop only apply to the normal models or to the entire 1213 pro and pro max lineup if so will you only get these models for the reduced price from apple or also from other retailers for example amazon,neutral,i have a question regarding price drops the video mentions the iphone  and  does the price drop only apply to the normal models or to the entire  pro and pro max lineup if so will you only get these models for the reduced price from apple or also from other retailers for example amazon,neutral
this is exactly the type of person i like to be friends with,positive,this is exactly the type of person i like to be friends with,neutral
sarap di pa ako nkakatikim nito yummy kakagutom hehe eatwel po mga idol godbless keepsafe your family po,positive,sarap di pa ako nkakatikim nito yummy kakagutom hehe eatwel po mga idol godbless keepsafe your family po,positive
your videos are sooo good they make me feel like a badass and they are great for studying thank you so much for putting in the time to make these ,positive,your videos are sooo good they make me feel like a badass and they are great for studying thank you so much for putting in the time to make these ,positive
the turtle segment is pure comedy  bro was stuck on his shell helpless watching hurt ,neutral,the turtle segment is pure comedy  bro was stuck on his shell helpless watching hurt ,positive
i went to check out the opal camera because i need a webcam upgrade and it looked pretty legit i loved everything i saw on the site up until the point of the 4month fee to use their software on a 300 webcam i think ill just get a capture card for my mirrorless or pick up a logi webcam instead other than that nice tech kit also yeah your experience with the pixel 6 mirrors my past experience with pixel phones i got one to try something different to the iphone and i loved it for a few months i tried a few customizations but found that leaving it stock was generally the best experience for me then it started unexpectedly slowing down or apps would wig out and crash on me out of nowhere or the camera just wouldnt or it would reboot in the middle of doing something,positive,i went to check out the opal camera because i need a webcam upgrade and it looked pretty legit i loved everything i saw on the site up until the point of the month fee to use their software on a  webcam i think ill just get a capture card for my mirrorless or pick up a logi webcam instead other than that nice tech kit also yeah your experience with the pixel  mirrors my past experience with pixel phones i got one to try something different to the iphone and i loved it for a few months i tried a few customizations but found that leaving it stock was generally the best experience for me then it started unexpectedly slowing down or apps would wig out and crash on me out of nowhere or the camera just wouldnt or it would reboot in the middle of doing something,positive
its not about money its about true love,positive,its not about money its about true love,positive
daniel you my friend are a legend its so good to see such passion and enthusiasm for your craft and the ml community is glad to have someone like you blazing a trail so that the new members can follow,positive,daniel you my friend are a legend its so good to see such passion and enthusiasm for your craft and the ml community is glad to have someone like you blazing a trail so that the new members can follow,positive
bruh i write how to make a game engine and get a fucking adventure video,negative,bruh i write how to make a game engine and get a fucking adventure video,neutral
i love it that he puts his hobbys in his videos i like it that you can see that asmr isnt the only thing he has in his life but also has a life outside his career and that he likes to share his passion ,positive,i love it that he puts his hobbys in his videos i like it that you can see that asmr isnt the only thing he has in his life but also has a life outside his career and that he likes to share his passion ,positive
thor el único en tener 4 películas individuales en el mcu hasta el momento,neutral,thor el nico en tener  pelculas individuales en el mcu hasta el momento,neutral
me as an american when he says hes going to try to spend 100 at food trucks ok so youre going to like 2 or 3 trucks cool,neutral,me as an american when he says hes going to try to spend  at food trucks ok so youre going to like  or  trucks cool,positive
i am so excited i am a sophomore in high school and feel in love with computer sciences back in 6th but now i have finally been able to use my logic skills to make many projects and started building my portfolio it has been a great trip and i cant wait until i get better,positive,i am so excited i am a sophomore in high school and feel in love with computer sciences back in th but now i have finally been able to use my logic skills to make many projects and started building my portfolio it has been a great trip and i cant wait until i get better,positive
as a member of the playstation community sending nothing but love,positive,as a member of the playstation community sending nothing but love,positive
respect for you this is just facts and defending yourself in the most respectful way ever no cheapsake nonsense and just facts that is all so proud of the absolute maturity you have shown,positive,respect for you this is just facts and defending yourself in the most respectful way ever no cheapsake nonsense and just facts that is all so proud of the absolute maturity you have shown,positive
the hand thing that lisa jennie and jisoo did at rosés part was sooooo satisfying,positive,the hand thing that lisa jennie and jisoo did at ross part was sooooo satisfying,neutral
hope this turns out good ,positive,hope this turns out good ,positive
chris’s energy is just awesome ,positive,chriss energy is just awesome ,positive
as an artistwriter myself it has always been a hobby of mine and now i want to turn it into a fulltime passionjob but i am currently in college with my psychology degree because being an empath is also comes natural to me and i want to help people so i have a lot planned for the future and hopefully i’ll have a work published in less than a year and a half,positive,as an artistwriter myself it has always been a hobby of mine and now i want to turn it into a fulltime passionjob but i am currently in college with my psychology degree because being an empath is also comes natural to me and i want to help people so i have a lot planned for the future and hopefully ill have a work published in less than a year and a half,positive
대학에 와서 공부를 하면서 점점 더 많은 미지수를 써야 하는 상황이 발생합니다 교수님들 역시 이렇게나 많은 미지수를 가지고 수업을 하시기에 알아보기 힘들때가 있었는데 이번 영상을 봄으로서 그런 고민을 많이 해결할 수 있었습니다,neutral,                               ,neutral
o mal não pode criar nada novo só pode corromper e destruir o que as forças do bem inventaram ou fizeram jrr tolkien,neutral,o mal no pode criar nada novo s pode corromper e destruir o que as foras do bem inventaram ou fizeram jrr tolkien,neutral
compared to the same time last year i feel like im living in the cloud 9 3 games 3 wins 9 points 9 goals scored with only 2 goals allowed can you believe that for ones like tierney tomiyasu and smith rowe who were main starters for arsenal last season we will definitely need their contribution more as the season goes by i hope they can be patient grab the opportunities and show what they are capable of on the pitch as the season keep going on compared to the last season this is a huge improvement the squad depth is so much thicker that we are using tomiyasu smith rowe and tierney as substitutes hopefully next week i would like to see vieira to make a debut even if its just for 10 or 20 minutes,positive,compared to the same time last year i feel like im living in the cloud   games  wins  points  goals scored with only  goals allowed can you believe that for ones like tierney tomiyasu and smith rowe who were main starters for arsenal last season we will definitely need their contribution more as the season goes by i hope they can be patient grab the opportunities and show what they are capable of on the pitch as the season keep going on compared to the last season this is a huge improvement the squad depth is so much thicker that we are using tomiyasu smith rowe and tierney as substitutes hopefully next week i would like to see vieira to make a debut even if its just for  or  minutes,positive
lol no one is dropping iphones because it ‘broke their email system’ it might attract android users who love a hardware spec or screen folding feature regardless of how it’s going to be used oooh more camera megapixel and ram that makes 0 difference in reality,positive,lol no one is dropping iphones because it broke their email system it might attract android users who love a hardware spec or screen folding feature regardless of how its going to be used oooh more camera megapixel and ram that makes  difference in reality,neutral
i cant beleive how consistent agn has been for years now,negative,i cant beleive how consistent agn has been for years now,neutral
a scientist who works in data science has been a godsend finding a job has been difficult in the wake of my graduation and several unsuccessful job applications after weighing my options i chose to leave physics and hunt for a position in data science before seeing your videos i was baffled as to why i continued being turned down for jobs despite having two masters degrees one in physics and the other in applied physics now that ive seen some of your vids i understand why glad i found your channel on youtube,positive,a scientist who works in data science has been a godsend finding a job has been difficult in the wake of my graduation and several unsuccessful job applications after weighing my options i chose to leave physics and hunt for a position in data science before seeing your videos i was baffled as to why i continued being turned down for jobs despite having two masters degrees one in physics and the other in applied physics now that ive seen some of your vids i understand why glad i found your channel on youtube,positive
thanks for sharing i am really glad you put this video in the context of what schools the student is looking to apply to since sat scores are all relative since i score a 1500 it blows my mind to think about being in the top 99 i think the part about scores being inflated because schools dont have to report bad test scores since students arent submitting bad tests scores makes sense however i do tell my students that submitting scores is beneficial to them if they can because the us world news report requires a school to report at least 50 of its students scores in order for them to remain competitive in the rankings thus more elite schools will take more students with scores than without to maintain their coveted spots,positive,thanks for sharing i am really glad you put this video in the context of what schools the student is looking to apply to since sat scores are all relative since i score a  it blows my mind to think about being in the top  i think the part about scores being inflated because schools dont have to report bad test scores since students arent submitting bad tests scores makes sense however i do tell my students that submitting scores is beneficial to them if they can because the us world news report requires a school to report at least  of its students scores in order for them to remain competitive in the rankings thus more elite schools will take more students with scores than without to maintain their coveted spots,positive
my husband looked at me in horror near the beginning of the video when i remarked i had not read any plato he then insisted i must read platos apology as a good start klavan then recommended platos apology guess im reading platos apology,neutral,my husband looked at me in horror near the beginning of the video when i remarked i had not read any plato he then insisted i must read platos apology as a good start klavan then recommended platos apology guess im reading platos apology,positive
det här var det roligaste på länge ,neutral,det hr var det roligaste p lnge ,positive
hermosa elección 18kissxuno de los mejores conciertos  2222 senada hermoso 2222 megan hotter 2222 hopi sweeter 2222 yoongi butter 2222 amor momentos 2222 alfiora preety 1800 yoongy 2222 alana awesome 2222 joonie y6va 2222 son unos de los mejores conciertos no puede ir pero de tan solo verlos desde pantalla se que estuvo sorprendente zifn  1555 son unos de los mejores conciertos ,neutral,hermosa eleccin kissxuno de los mejores conciertos   senada hermoso  megan hotter  hopi sweeter  yoongi butter  amor momentos  alfiora preety  yoongy  alana awesome  joonie yva  son unos de los mejores conciertos no puede ir pero de tan solo verlos desde pantalla se que estuvo sorprendente zifn   son unos de los mejores conciertos ,neutral
every time he answers its like hes telling us a story rather than regurgitating an answer i could listen to him all day,positive,every time he answers its like hes telling us a story rather than regurgitating an answer i could listen to him all day,positive
the look you gave ya man when he walked in  you definitely need to do more mukbangs friend,positive,the look you gave ya man when he walked in  you definitely need to do more mukbangs friend,positive
for people complaining on the fake slide it was absolutely legal at the time of the play and was a glaringly awful loophole in the rules it was changed as a direct result of that play,negative,for people complaining on the fake slide it was absolutely legal at the time of the play and was a glaringly awful loophole in the rules it was changed as a direct result of that play,negative
she has a very effective way of delivering information in a way that is accessible love her,positive,she has a very effective way of delivering information in a way that is accessible love her,positive
by far the best excel tutorial i have seen for beginners complete basic to the point and very useful in real life situations great course thank you shad sluiter for sharing,positive,by far the best excel tutorial i have seen for beginners complete basic to the point and very useful in real life situations great course thank you shad sluiter for sharing,positive
the record ill love to break is becoming the first millionaire in my family history ive read about people coming from the dirt to making over 2millions in few years and id love to know how to build wealth and amass good profit against all odds,positive,the record ill love to break is becoming the first millionaire in my family history ive read about people coming from the dirt to making over millions in few years and id love to know how to build wealth and amass good profit against all odds,positive
this music video is so well made the lighting and angles are amazing and it follows the songs lyrics which doesnt happen a lot of the time well done shiey,positive,this music video is so well made the lighting and angles are amazing and it follows the songs lyrics which doesnt happen a lot of the time well done shiey,positive
worker retention is one of the best indicators of a good workplace ivy league schools like harvard princeton and yale have very high retention rates 9799 for employers its airlines banks and telecom companies,positive,worker retention is one of the best indicators of a good workplace ivy league schools like harvard princeton and yale have very high retention rates  for employers its airlines banks and telecom companies,positive
i love how the code was placed right next to the decision tree it was so simple to understand the tree and with the code right next to the branches i felt the same simplicity merge over as i looked at the code definitely a smart way to relieve the anxiety of trying to figure out a new code seeing this makes me think that if kids are exposed to math and science examples like this in programming courses or even in after school activities theyd be even more adaptable to learning how to code you guys are amazing please keep the videos coming,positive,i love how the code was placed right next to the decision tree it was so simple to understand the tree and with the code right next to the branches i felt the same simplicity merge over as i looked at the code definitely a smart way to relieve the anxiety of trying to figure out a new code seeing this makes me think that if kids are exposed to math and science examples like this in programming courses or even in after school activities theyd be even more adaptable to learning how to code you guys are amazing please keep the videos coming,positive
i love this song i listen to it everyday,positive,i love this song i listen to it everyday,positive
new subscriber bro,neutral,new subscriber bro,positive
i use this as my own personal incognito mode since i don’t have google on my mobile lol,neutral,i use this as my own personal incognito mode since i dont have google on my mobile lol,neutral
definitely excited for this all the specs aside it’s gonna be a lot of fun,positive,definitely excited for this all the specs aside its gonna be a lot of fun,positive
the 3ds is probably my favorite system of all time with access to all ds games and the impressive digital library almost no other system library can compare the library isn’t only large it’s diverse there are bangers for every genre of game all of this is a portable package,positive,the ds is probably my favorite system of all time with access to all ds games and the impressive digital library almost no other system library can compare the library isnt only large its diverse there are bangers for every genre of game all of this is a portable package,positive
even just the beginning of the story has me stressed out death valley is incredibly scary and if you go off the path youre basically guaranteed to get in serious trouble,negative,even just the beginning of the story has me stressed out death valley is incredibly scary and if you go off the path youre basically guaranteed to get in serious trouble,negative
give me 25 cents every time he says now and ill be a millionaire,positive,give me  cents every time he says now and ill be a millionaire,positive
congratulations bro 200k subcribers,positive,congratulations bro k subcribers,positive
can’t thank him enough my favorite tech guy so honest and reliable,positive,cant thank him enough my favorite tech guy so honest and reliable,positive
very cool my grandfather who died at 95 right before the pandemic used to collect physics toys and loved to demonstrate and explain how they work because of him i have a good understanding of buoyancy surface tension states of matter electrical conductance and many other concepts we need people like you to teach this stuff to the next generation keep up the good work,positive,very cool my grandfather who died at  right before the pandemic used to collect physics toys and loved to demonstrate and explain how they work because of him i have a good understanding of buoyancy surface tension states of matter electrical conductance and many other concepts we need people like you to teach this stuff to the next generation keep up the good work,positive
when its a really good stuff and they get small they make some funny faces lol,positive,when its a really good stuff and they get small they make some funny faces lol,positive
joyces style is more relevant today than ever considering the choppy abbreviated and polluted thoughts we all experience in such an overstimulating and informational existence,positive,joyces style is more relevant today than ever considering the choppy abbreviated and polluted thoughts we all experience in such an overstimulating and informational existence,positive
i was curious as to when youd be able to do this unboxing we all knew you were getting one but never knew when youd reveal it well worth the wait ,positive,i was curious as to when youd be able to do this unboxing we all knew you were getting one but never knew when youd reveal it well worth the wait ,positive
this song should be listened while driving at full speedlove this song,positive,this song should be listened while driving at full speedlove this song,positive
you have the best science channel on the web hands down it easily rivals anything i’ve seen on television i am so damn impressed with every video i’ve seen from your team and you deserve many millions of subscribers thank you for a consistently incredible and enriching source of entertainment and education,positive,you have the best science channel on the web hands down it easily rivals anything ive seen on television i am so damn impressed with every video ive seen from your team and you deserve many millions of subscribers thank you for a consistently incredible and enriching source of entertainment and education,positive
i love this channel for giving so much information about something that i am interested in,positive,i love this channel for giving so much information about something that i am interested in,positive
it is a pity that i was in school when this happened and i missed this premiere but so far i am loving this playlist amazing work once again chillhop,positive,it is a pity that i was in school when this happened and i missed this premiere but so far i am loving this playlist amazing work once again chillhop,positive
love this song so much do drop by for a piano version too hugssssss,positive,love this song so much do drop by for a piano version too hugssssss,positive
amazing to see you supporting atozy looks like hes having a real tough time with it,positive,amazing to see you supporting atozy looks like hes having a real tough time with it,positive
just saw duplantis won the olympics hes definitely a legend making all those jumps to the gold medal not a single fail,positive,just saw duplantis won the olympics hes definitely a legend making all those jumps to the gold medal not a single fail,positive
hi i´m an international student do you think i have to take sat and submit my test scores how important is that for a class of 2028 especially if i want to get into a good university,neutral,hi im an international student do you think i have to take sat and submit my test scores how important is that for a class of  especially if i want to get into a good university,positive
i am leaving a comment here as a reminder so that whenever someone likes this comment and i get a notification i come here to listen this masterpiece again,neutral,i am leaving a comment here as a reminder so that whenever someone likes this comment and i get a notification i come here to listen this masterpiece again,positive
kudos to the inventor what a cool idea the future starts now and if it‘s olor and tingboy approved it must be fun,positive,kudos to the inventor what a cool idea the future starts now and if its olor and tingboy approved it must be fun,positive
sunny is really trying out the food of the world the ones that people are afraid to try yet sunny shows how people eat around the world and still live best food program ever i think i have seen literally every single video,positive,sunny is really trying out the food of the world the ones that people are afraid to try yet sunny shows how people eat around the world and still live best food program ever i think i have seen literally every single video,positive
i now know i like this guy i at first thought i had some type of prejudicial dislike of him maybe because he was too smooth and that goes against my grain but i love this guy because he does seem to care about things and many of them seem not to be regarding how much money he can make off of a ad for a person it seems as his reviews are sincere and these seem not to have to do with what ive seen only from him which is technology i really love the fact that this guy cares about peoples safety and he brings up some safety issues which people should be concerned about if they have children especially with the toys and the baby monitors yeah this guy is getting a big a from me,positive,i now know i like this guy i at first thought i had some type of prejudicial dislike of him maybe because he was too smooth and that goes against my grain but i love this guy because he does seem to care about things and many of them seem not to be regarding how much money he can make off of a ad for a person it seems as his reviews are sincere and these seem not to have to do with what ive seen only from him which is technology i really love the fact that this guy cares about peoples safety and he brings up some safety issues which people should be concerned about if they have children especially with the toys and the baby monitors yeah this guy is getting a big a from me,negative
this is the kind of lawyer who would have been greatly honored to represent benedict arnold,positive,this is the kind of lawyer who would have been greatly honored to represent benedict arnold,neutral
